x,y,Anolis.maculigula
-76.30117036,7.297292502,1
-76.21783703,7.297292502,1
-76.1345037,7.297292502,1
-76.05117036,7.297292502,1
-75.96783703,7.297292502,1
-75.8845037,7.297292502,1
-75.80117036,7.297292502,1
-75.71783703,7.297292502,1
-76.30117036,7.213959169,1
-76.21783703,7.213959169,1
-76.1345037,7.213959169,1
-76.05117036,7.213959169,1
-75.96783703,7.213959169,1
-75.8845037,7.213959169,1
-75.80117036,7.213959169,1
-75.71783703,7.213959169,1
-76.30117036,7.130625836,1
-76.21783703,7.130625836,1
-76.1345037,7.130625836,1
-76.05117036,7.130625836,1
-75.96783703,7.130625836,1
-75.8845037,7.130625836,1
-75.80117036,7.130625836,1
-75.71783703,7.130625836,1
-75.6345037,7.130625836,1
-76.30117036,7.047292503,1
-76.21783703,7.047292503,1
-76.1345037,7.047292503,1
-76.05117036,7.047292503,1
-75.96783703,7.047292503,1
-75.8845037,7.047292503,1
-75.80117036,7.047292503,1
-75.71783703,7.047292503,1
-75.6345037,7.047292503,1
-76.30117036,6.96395917,1
-76.21783703,6.96395917,1
-76.1345037,6.96395917,1
-76.05117036,6.96395917,1
-75.96783703,6.96395917,1
-75.8845037,6.96395917,1
-75.80117036,6.96395917,1
-75.71783703,6.96395917,1
-76.38450369,6.880625837,1
-76.30117036,6.880625837,1
-76.21783703,6.880625837,1
-76.1345037,6.880625837,1
-76.05117036,6.880625837,1
-75.96783703,6.880625837,1
-75.8845037,6.880625837,1
-75.80117036,6.880625837,1
-76.38450369,6.797292504,1
-76.30117036,6.797292504,1
-76.21783703,6.797292504,1
-76.1345037,6.797292504,1
-76.05117036,6.797292504,1
-75.96783703,6.797292504,1
-75.8845037,6.797292504,1
-75.80117036,6.797292504,1
-76.30117036,6.713959171,1
-76.21783703,6.713959171,1
-76.1345037,6.713959171,1
-76.05117036,6.713959171,1
-75.96783703,6.713959171,1
-75.8845037,6.713959171,1
-75.80117036,6.713959171,1
-76.30117036,6.630625838,1
-76.21783703,6.630625838,1
-76.1345037,6.630625838,1
-76.05117036,6.630625838,1
-75.96783703,6.630625838,1
-75.8845037,6.630625838,1
-75.80117036,6.630625838,1
-76.30117036,6.547292505,1
-76.21783703,6.547292505,1
-76.1345037,6.547292505,1
-76.05117036,6.547292505,1
-75.96783703,6.547292505,1
-75.8845037,6.547292505,1
-75.80117036,6.547292505,1
-75.71783703,6.547292505,1
-76.30117036,6.463959172,1
-76.21783703,6.463959172,1
-76.1345037,6.463959172,1
-76.05117036,6.463959172,1
-75.96783703,6.463959172,1
-75.8845037,6.463959172,1
-75.80117036,6.463959172,1
-75.71783703,6.463959172,1
-76.30117036,6.380625839,1
-76.21783703,6.380625839,1
-76.1345037,6.380625839,1
-76.05117036,6.380625839,1
-75.96783703,6.380625839,1
-75.8845037,6.380625839,1
-75.80117036,6.380625839,1
-75.71783703,6.380625839,1
-76.38450369,6.297292506,1
-76.30117036,6.297292506,1
-76.21783703,6.297292506,1
-76.1345037,6.297292506,1
-76.05117036,6.297292506,1
-75.96783703,6.297292506,1
-75.8845037,6.297292506,1
-75.80117036,6.297292506,1
-75.71783703,6.297292506,1
-76.30117036,6.213959173,1
-76.21783703,6.213959173,1
-76.1345037,6.213959173,1
-76.05117036,6.213959173,1
-75.96783703,6.213959173,1
-75.8845037,6.213959173,1
-75.80117036,6.213959173,1
-75.71783703,6.213959173,1
-76.30117036,6.13062584,1
-76.21783703,6.13062584,1
-76.1345037,6.13062584,1
-76.05117036,6.13062584,1
-75.96783703,6.13062584,1
-75.8845037,6.13062584,1
-75.80117036,6.13062584,1
-75.71783703,6.13062584,1
-76.30117036,6.047292507,1
-76.21783703,6.047292507,1
-76.1345037,6.047292507,1
-76.05117036,6.047292507,1
-75.96783703,6.047292507,1
-75.8845037,6.047292507,1
-75.80117036,6.047292507,1
-75.71783703,6.047292507,1
-76.38450369,5.963959174,1
-76.30117036,5.963959174,1
-76.21783703,5.963959174,1
-76.1345037,5.963959174,1
-76.05117036,5.963959174,1
-75.96783703,5.963959174,1
-75.8845037,5.963959174,1
-75.80117036,5.963959174,1
-76.38450369,5.880625841,1
-76.30117036,5.880625841,1
-76.21783703,5.880625841,1
-76.1345037,5.880625841,1
-76.05117036,5.880625841,1
-75.96783703,5.880625841,1
-75.8845037,5.880625841,1
-75.80117036,5.880625841,1
-76.30117036,5.797292508,1
-76.21783703,5.797292508,1
-76.1345037,5.797292508,1
-76.05117036,5.797292508,1
-75.96783703,5.797292508,1
-75.8845037,5.797292508,1
-76.21783703,5.713959175,1
-76.1345037,5.713959175,1
-76.05117036,5.713959175,1
-75.96783703,5.713959175,1
-75.8845037,5.713959175,1
-76.21783703,5.630625842,1
-76.1345037,5.630625842,1
-76.05117036,5.630625842,1
-75.96783703,5.630625842,1
-76.21783703,5.547292509,1
-76.1345037,5.547292509,1
-76.05117036,5.547292509,1
-75.96783703,5.547292509,1
-76.1345037,5.463959176,1
-76.05117036,5.463959176,1
-75.96783703,5.463959176,1
